Year,Extent
1978,10.231
1978,10.42
1978,10.557
1978,10.67
1978,10.777
1978,10.968
1978,11.08
1978,11.189
1978,11.314
1978,11.46
1978,11.539
1978,11.696
1978,11.87
1978,12.053
1978,12.274
1978,12.441
1978,12.662
1978,12.684
1978,12.725
1978,12.66
1978,12.785
1978,13.051
1978,13.143
1978,13.437
1978,13.603
1978,13.649
1978,13.807
1978,13.892
1978,13.996
1978,14.189
1978,14.268
1978,14.383
1978,14.5
1978,14.585
1979,14.997
1979,14.922
1979,14.929
1979,14.968
1979,15.19
1979,15.327
1979,15.352
1979,15.5
1979,15.517
1979,15.709
1979,15.679
1979,15.745
1979,15.686
1979,15.777
1979,15.912
1979,15.857
1979,15.839
1979,15.831
1979,15.801
1979,15.99
1979,16.099
1979,16.289
1979,16.323
1979,16.343
1979,16.291
1979,16.26
1979,16.401
1979,16.579
1979,16.551
1979,16.635
1979,16.457
1979,16.568
1979,16.547
1979,16.536
1979,16.513
1979,16.414
1979,16.31
1979,16.467
1979,16.505
1979,16.349
1979,16.279
1979,16.264
1979,16.06
1979,15.763
1979,15.804
1979,15.66
1979,15.641
1979,15.695
1979,15.794
1979,15.761
1979,15.655
1979,15.5
1979,15.454
1979,15.51
1979,15.343
1979,15.255
1979,15.224
1979,15.141
1979,15.108
1979,14.961
1979,14.626
1979,14.498
1979,14.45
1979,14.325
1979,14.149
1979,14.012
1979,13.836
1979,13.862
1979,13.691
1979,13.56
1979,13.529
1979,13.364
1979,13.399
1979,13.292
1979,13.26
1979,13.076
1979,12.977
1979,12.832
1979,12.791
1979,12.854
1979,12.733
1979,12.673
1979,12.548
1979,12.517
1979,12.415
1979,12.373
1979,12.243
1979,12.112
1979,11.977
1979,11.829
1979,11.562
1979,11.363
1979,11.255
1979,10.936
1979,10.793
1979,10.662
1979,10.503
1979,10.401
1979,10.256
1979,9.927
1979,9.919
1979,9.668
1979,9.614
1979,9.556
1979,9.342
1979,9.223
1979,9
1979,8.859
1979,8.744
1979,8.61
1979,8.328
1979,8.284
1979,8.138
1979,7.971
1979,7.811
1979,7.659
1979,7.566
1979,7.577
1979,7.421
1979,7.364
1979,7.284
1979,7.228
1979,7.147
1979,7.037
1979,7.075
1979,7.092
1979,6.981
1979,7.003
1979,7.007
1979,7.001
1979,6.91
1979,6.895
1979,7.033
1979,7.058
1979,7.127
1979,7.173
1979,7.404
1979,7.534
1979,7.813
1979,7.878
1979,8.115
1979,8.136
1979,8.338
1979,8.57
1979,8.938
1979,9.19
1979,9.295
1979,9.466
1979,9.7
1979,9.869
1979,9.797
1979,9.924
1979,10.144
1979,10.159
1979,10.267
1979,10.27
1979,10.497
1979,10.61
1979,10.8
1979,10.92
1979,11.01
1979,11.157
1979,11.352
1979,11.419
1979,11.581
1979,11.884
1979,12.076
1979,12.39
1979,12.462
1979,12.781
1979,12.991
1979,13.101
1979,13.292
1979,13.268
1979,13.322
1979,13.377
1979,13.541
1979,13.619
1979,13.773
1979,13.934
1979,14.101
1979,14.092
1980,14.2
1980,14.302
1980,14.414
1980,14.518
1980,14.594
1980,14.665
1980,14.771
1980,14.831
1980,14.957
1980,15.12
1980,15.141
1980,15.195
1980,15.209
1980,15.124
1980,15.258
1980,15.491
1980,15.401
1980,15.639
1980,15.76
1980,15.888
1980,15.895
1980,15.97
1980,16.017
1980,16.095
1980,16.095
1980,16.17
1980,16.066
1980,16.087
1980,16.069
1980,16.22
1980,16.157
1980,16.248
1980,16.302
1980,16.289
1980,16.168
1980,16.04
1980,15.966
1980,15.994
1980,15.988
1980,16.005
