year,month,average
1958,5,317.51
1958,11,313.33
1959,5,318.29
1959,11,314.81
1960,5,320.04
1960,11,315
1961,5,320.58
1961,11,316.1
1962,5,321.02
1962,11,316.69
1963,5,322.25
1963,11,317.07
1964,5,322.26
1964,11,317.68
1965,5,322.17
1965,11,318.87
1966,5,324.08
1966,11,319.78
1967,5,325
1967,11,320.73
1968,5,325.57
1968,11,321.32
1969,5,327.38
1969,11,322.86
1970,5,328.08
1970,11,324.01
1971,5,328.93
1971,11,324.8
1972,5,330.07
1972,11,326.5
1973,5,332.48
1973,11,328.16
1974,5,333.19
1974,11,328.31
1975,5,333.95
1975,11,329.38
1976,5,334.72
1976,11,330.16
1977,5,336.93
1977,11,332.46
1978,5,338.02
1978,11,333.76
1979,5,339.24
1979,11,335.32
1980,5,341.45
1980,11,337.3
1981,5,343.04
1981,11,338.57
1982,5,344.77
1982,11,339.44
1983,5,346.14
1983,11,341.79
1984,5,347.78
1984,11,343.31
1985,5,349.28
1985,11,344.73
1986,5,350.52
1986,11,346.22
1987,5,352.15
1987,11,348.08
1988,5,354.35
1988,11,350.42
1989,5,355.95
1989,11,351.55
1990,5,357.38
1990,11,353.14
1991,5,359.23
1991,11,353.89
1992,5,359.71
1992,11,354.42
1993,5,360.3
1993,11,355.53
1994,5,361.78
1994,11,357.65
1995,5,363.83
1995,11,359.61
1996,5,365.25
1996,11,361.04
1997,5,366.77
1997,11,362.65
1998,5,369.56
1998,11,365.67
1999,5,371.12
1999,11,366.88
2000,5,371.75
2000,11,368.53
2001,5,374.03
2001,11,369.94
2002,5,375.93
2002,11,372.43
2003,5,378.78
2003,11,374.84
2004,5,380.8
2004,11,376.33
2005,5,382.64
2005,11,378.54
2006,5,385.22
2006,11,380.35
2007,5,386.78
2007,11,382.7
2008,5,388.78
2008,11,384.41
2009,5,390.36
2009,11,386.23
2010,5,393.21
2010,11,388.87
2011,5,394.41
2011,11,390.48
2012,5,396.93
2012,11,393.2
2013,5,400.02
2013,11,395.36
2014,5,401.96
2014,11,397.55
2015,5,404.15
2015,11,400.27
2016,5,407.9
2016,11,403.72
2017,5,409.89
2017,11,405.31
2018,5,411.44
2018,11,408.21
2019,5,414.86
2019,11,410.48
2020,5,417.31
2020,11,413.12
2021,5,419.13
2021,11,415.01
